SEEDGWAS2078id	general_identifier	number	name	bank_number	breeders_code	subtaxa_id...7	taxonomy_id	institution_id	breeder_id	plant_passport	donor_code	donor_number	acqdate	collnumb	colldate	collcode	duplsite	biologicalstatus_id	collsrc_id	location_id	created_on	updated_on	locations_id	locations_state	locations_region	locations_site_name	locations_elevation	locations_latitude	locations_longitude	countries_id	countries_country_code2	countries_country_code3	countries_country_name	subtaxa_id...35	subtaxa_subtaxa_author	subtaxa_taxonomic_identifier	taxonomies_id	taxonomies_genus	taxonomies_species	taxonomies_species_author	taxonomies_crop_name	taxonomies_ploidy	Sample ID of DNA from composite samples	Sample ID of DNA from original CMLs	Sample ID of DNA from most recent CML regenerations	Sample ID for DNA from intermediate CML regenerations	Sample ID of DNA from single plants used in GWAS	Tester GID	Tester pedigree	Testcross GID	PrimaryRace	PrimaryPurity	SecondaryRace	Pedigree	GrainType1	GrainType2	GrainType3	GrainColor1	GrainColor2	GrainColor3	PopulationType	flowering_season_start	growing_season_start	X.unlist.strsplit.pca_sample_names....n....
809	9606	NA	9606	CIMMYTMA-BANK-002450	NA	NA	2	NA	NA	NA	NA	NA	NA	CUBA82	1959-09-01	NA	NA	NA	NA	3315	2014-11-24T15:11:31Z	NA	3315	NA	ORIENTE	FINCA LA VICTORIA JIGUANI	107	20.38333333	-76.43333333	192	CU	CUB	CUBA	NA	NA	NA	2	Zea	mays subsp. mays	NA	Maize	2	SEEDDIV2200	NA	NA	NA	SEEDGWAS764	242913	CML269/CML264	241835	TUSON	NA	CUBAAM	NA	Dent	Flint	NA	Yellow	NA	NA	Collection	NA	NA	SEEDGWAS764
810	9607	NA	9607	CIMMYTMA-BANK-002451	NA	NA	2	NA	NA	NA	NA	NA	NA	CUBA94	1959-09-01	NA	NA	NA	NA	235	2014-11-24T15:11:31Z	NA	235	NA	ORIENTE	ALMACEN DE QUINONES CONTRAMAESTRE	102	20.3	-76.21666667	192	CU	CUB	CUBA	NA	NA	NA	2	Zea	mays subsp. mays	NA	Maize	2	SEEDDIV2201	NA	NA	NA	SEEDGWAS1284	242919	CML495/CML494	242355	TUSON	NA	CHANDE	NA	Dent	NA	NA	Yellow	Sun red	NA	Collection	NA	NA	SEEDGWAS1284
811	9611	NA	9611	CIMMYTMA-BANK-002458	NA	NA	2	NA	NA	NA	NA	NA	NA	GREN11	1959-01-01	NA	NA	NA	NA	8982	2014-11-24T15:11:32Z	NA	8982	NA	NA	ST. PATRICK	63	12.2	-61.63	308	GD	GRD	GRENADA	NA	NA	NA	2	Zea	mays subsp. mays	NA	Maize	2	SEEDDIV937	NA	NA	NA	SEEDGWAS136	242919	CML495/CML494	241206	CANILL	8	NA	NA	Dent	Flint	NA	Yellow	White	Sun red	Collection	NA	NA	SEEDGWAS136
812	9613	NA	9613	CIMMYTMA-BANK-002460	NA	NA	2	NA	NA	NA	NA	NA	NA	HAIT1	1952-02-06	NA	NA	NA	NA	6380	2014-11-24T15:11:32Z	NA	6380	NA	NA	PETIT-ANGEL-MORON	154	18.563505	-74.267982	332	HT	HTI	HAITI	NA	NA	NA	2	Zea	mays subsp. mays	NA	Maize	2	SEEDDIV2209	NA	NA	NA	SEEDGWAS137	242919	CML495/CML494	241207	CHANDE	NA	NA	NA	Dent	NA	NA	White	Yellow	NA	Collection	NA	NA	SEEDGWAS137
813	9616	NA	9616	CIMMYTMA-BANK-002465	NA	NA	2	NA	NA	NA	NA	NA	NA	MART4	1952-02-20	NA	NA	NA	NA	5788	2014-11-24T15:11:32Z	NA	5788	NA	NA	NEAR ST. PIERRE	232	14.739362	-61.165426	474	MQ	MTQ	MARTINIQUE	NA	NA	NA	2	Zea	mays subsp. mays	NA	Maize	2	SEEDDIV2211	NA	NA	NA	SEEDGWAS1285	242919	CML495/CML494	242356	EARCAR	NA	NA	NA	Flint	Dent	NA	Sun red	NA	NA	Collection	NA	NA	SEEDGWAS1285
814	9622	NA	9622	CIMMYTMA-BANK-002466	NA	NA	2	NA	NA	NA	NA	NA	NA	PUER21	1959-01-01	NA	NA	NA	NA	161	2014-11-24T15:11:32Z	NA	161	NA	NA	AGUADILLA	NA	NA	NA	630	PR	PRI	PUERTO RICO	NA	NA	NA	2	Zea	mays subsp. mays	NA	Maize	2	SEEDDIV2212	NA	NA	NA	SEEDGWAS1286	242919	CML495/CML494	242357	CHANDE	NA	TUSON	NA	Dent	NA	NA	Yellow	Sun red	NA	Collection	NA	NA	SEEDGWAS1286
815	9623	NA	9623	CIMMYTMA-BANK-002468	NA	NA	2	NA	NA	NA	NA	NA	NA	RDOM38	NA	NA	NA	NA	NA	3726	2014-11-24T15:11:32Z	NA	3726	NA	LA VEGA REAL	HATO VIEJO	196	19.18333333	-70.5	214	DO	DOM	DOMINICAN REPUBLIC	NA	NA	NA	2	Zea	mays subsp. mays	NA	Maize	2	SEEDDIV1131	NA	NA	NA	SEEDGWAS1287	242919	CML495/CML494	242358	TUSON	NA	NA	NA	Dent	NA	NA	Yellow	Sun red	NA	Collection	NA	NA	SEEDGWAS1287
819	9658	NA	9658	CIMMYTMA-BANK-002475	NA	NA	2	NA	NA	NA	NA	NA	NA	RDOM188	NA	NA	NA	NA	NA	2068	2014-11-24T15:11:32Z	NA	2068	NA	LA ALTAGRACIA	COLONIA MOIMON HIGUEY	NA	NA	NA	214	DO	DOM	DOMINICAN REPUBLIC	NA	NA	NA	2	Zea	mays subsp. mays	NA	Maize	2	SEEDDIV5425	NA	NA	NA	SEEDGWAS765	242916	CML451/CML486	241836	TUSON	NA	TUXPEN	NA	Dent	NA	NA	Yellow	NA	NA	Collection	NA	NA	SEEDGWAS765
823	9676	NA	9676	CIMMYTMA-BANK-002482	NA	NA	2	NA	NA	NA	NA	NA	NA	RDOMGP4	1962-01-01	NA	NA	NA	NA	NA	2014-11-24T15:11:33Z	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	Zea	mays subsp. mays	NA	Maize	2	SEEDDIV2220	NA	NA	NA	SEEDGWAS138	242913	CML269/CML264	241208	CHANDE	NA	NA	NA	Dent	NA	NA	Sun red	Yellow	Red	Group	NA	NA	SEEDGWAS138
824	9678	NA	9678	CIMMYTMA-BANK-002484	NA	NA	2	NA	NA	NA	NA	NA	NA	SVIN8	1959-01-01	NA	NA	NA	NA	772	2014-11-24T15:11:33Z	NA	772	NA	ST. PATRICK	BARROUALLIE	131	13.23247	-61.264283	670	VC	VCT	SAINT VINCENT AND THE GRENADINES	NA	NA	NA	2	Zea	mays subsp. mays	NA	Maize	2	SEEDDIV5317	NA	NA	NA	SEEDGWAS1289	242919	CML495/CML494	242360	COSTCR	8	NA	NA	Flint	NA	NA	Yellow	NA	NA	Collection	NA	NA	SEEDGWAS1289
826	9730	NA	9730	CIMMYTMA-BANK-002489	NA	NA	2	NA	NA	NA	NA	NA	NA	TRIN6	1952-02-24	NA	NA	NA	NA	7807	2014-11-24T15:11:33Z	NA	7807	NA	NA	SAN AGUSTIN	50	10.654156	-61.400777	780	TT	TTO	TRINIDAD AND TOBAGO	NA	NA	NA	2	Zea	mays subsp. mays	NA	Maize	2	SEEDDIV2226	NA	NA	NA	SEEDGWAS769	242916	CML451/CML486	241840	TUSON	9	NA	NA	Dent	Flint	NA	Yellow	NA	NA	Collection	NA	NA	SEEDGWAS769
827	9758	NA	9758	CIMMYTMA-BANK-002491	NA	NA	2	NA	NA	NA	NA	NA	NA	TRIN12	1952-02-23	NA	NA	NA	NA	3006	2014-11-24T15:11:33Z	NA	3006	NA	SANGRE GRANDE	EL REPOSO	NA	NA	NA	780	TT	TTO	TRINIDAD AND TOBAGO	NA	NA	NA	2	Zea	mays subsp. mays	NA	Maize	2	SEEDDIV2227	NA	NA	NA	SEEDGWAS1290	242919	CML495/CML494	242361	TUSON	9	NA	NA	Dent	NA	NA	Yellow	NA	NA	Collection	NA	NA	SEEDGWAS1290
830	9766	NA	9766	CIMMYTMA-BANK-002500	NA	NA	2	NA	NA	NA	NA	NA	NA	GUAT303	1952-07-25	NA	NA	NA	NA	3000	2014-11-24T15:11:33Z	NA	3000	NA	SAN MARCOS	EL RECREO CATARINA	233	14.857059	-92.081027	320	GT	GTM	GUATEMALA	NA	NA	NA	2	Zea	mays subsp. mays	NA	Maize	2	SEEDDIV2230	NA	NA	NA	SEEDGWAS771	242916	CML451/CML486	241842	SALVAD	NA	TEPECI	NA	Dent	NA	NA	Yellow	NA	NA	Collection	NA	NA	SEEDGWAS771
832	9769	NA	9769	CIMMYTMA-BANK-002527	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	1962-01-01	NA	NA	NA	NA	NA	2014-11-24T15:11:33Z	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	Zea	mays subsp. mays	NA	Maize	2	SEEDDIV2671	NA	NA	NA	SEEDGWAS1291	242913	CML269/CML264	242362	SALVAD	NA	NA	NA	Dent	NA	NA	White	Yellow	NA	Group	NA	NA	SEEDGWAS1291
834	9771	NA	9771	CIMMYTMA-BANK-002530	NA	NA	2	NA	NA	NA	NA	NA	NA	CAMP28	1948-01-01	NA	NA	NA	NA	NA	2014-11-24T15:11:33Z	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	Zea	mays subsp. mays	NA	Maize	2	SEEDDIV26087	NA	NA	NA	SEEDGWAS2390	242919	CML495/CML494	239184	MEZCLA	NA	TEPECI	NA	Dent	NA	NA	White	Blue	NA	Collection	NA	NA	SEEDGWAS2390
837	9777	NA	9777	CIMMYTMA-BANK-002540	NA	NA	2	NA	NA	NA	NA	NA	NA	SNLP56	1952-01-14	NA	NA	NA	NA	7924	2014-11-24T15:11:33Z	NA	7924	NA	NA	SAN CIRO	936	21.635442	-99.836545	484	MX	MEX	MEXICO	NA	NA	NA	2	Zea	mays subsp. mays	NA	Maize	2	SEEDDIV26093	NA	NA	NA	SEEDGWAS1840	242913	CML269/CML264	238678	TUXPEN	NA	NA	NA	Dent	NA	NA	White	NA	NA	Collection	NA	NA	SEEDGWAS1840
838	9779	NA	9779	CIMMYTMA-BANK-002542	NA	NA	2	NA	NA	NA	NA	NA	NA	TAMA26	1953-02-07	NA	NA	NA	NA	2260	2014-11-24T15:11:33Z	NA	2260	NA	VILLA MAINERO	CORRADO CASTILLO	569	24.55	-99.65	484	MX	MEX	MEXICO	NA	NA	NA	2	Zea	mays subsp. mays	NA	Maize	2	SEEDDIV1018	NA	NA	NA	SEEDGWAS773	242916	CML451/CML486	241844	TUXPEN	NA	NA	NA	Dent	NA	NA	White	Yellow	NA	Collection	NA	NA	SEEDGWAS773
839	9786	NA	9786	CIMMYTMA-BANK-002544	NA	NA	2	NA	NA	NA	NA	NA	NA	TAMA32	1953-02-07	NA	NA	NA	NA	6774	2014-11-24T15:11:34Z	NA	6774	NA	VILLAGRAN	PURISIMA FLORENA	348	24.408973	-99.460659	484	MX	MEX	MEXICO	NA	NA	NA	2	Zea	mays subsp. mays	NA	Maize	2	SEEDDIV1132	NA	NA	NA	SEEDGWAS3832	242914	CML373/CML311	240628	TUXPEN	NA	NA	NA	Dent	NA	NA	White	Yellow	NA	Collection	NA	NA	SEEDGWAS3832
840	9798	NA	9798	CIMMYTMA-BANK-002545	NA	NA	2	NA	NA	NA	NA	NA	NA	TAMA36	1953-02-07	NA	NA	NA	NA	4634	2014-11-24T15:11:34Z	NA	4634	NA	VILLA HIDALGO	LA PIRAHUA	227	24.015674	-99.223726	484	MX	MEX	MEXICO	NA	NA	NA	2	Zea	mays subsp. mays	NA	Maize	2	SEEDDIV24803	NA	NA	NA	SEEDGWAS1293	242919	CML495/CML494	242364	TUXPEN	NA	TAMAUL	NA	Dent	NA	NA	White	Yellow	NA	Collection	NA	NA	SEEDGWAS1293
843	9803	NA	9803	CIMMYTMA-BANK-002554	NA	NA	2	NA	NA	NA	NA	NA	NA	VERA146	1959-07-02	NA	NA	NA	NA	912	2014-11-24T15:11:35Z	NA	912	NA	TECOLUTLA	BOCA DE LIMA	12	20.547635	-97.129731	484	MX	MEX	MEXICO	NA	NA	NA	2	Zea	mays subsp. mays	NA	Maize	2	SEEDDIV2693	NA	NA	NA	SEEDGWAS142	242913	CML269/CML264	241212	TUXPEN	NA	NA	NA	Dent	NA	NA	White	Yellow	NA	Collection	NA	NA	SEEDGWAS142
847	9818	NA	9818	CIMMYTMA-BANK-002587	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	1962-01-01	NA	NA	NA	NA	NA	2014-11-24T15:11:35Z	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	Zea	mays subsp. mays	NA	Maize	2	SEEDDIV3247	NA	NA	NA	SEEDGWAS610	242913	CML269/CML264	241680	TUXPEN	NA	NA	NA	Dent	NA	NA	White	Yellow	Sun red	Composite	NA	NA	SEEDGWAS610
850	9836	NA	9836	CIMMYTMA-BANK-002591	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	1962-01-01	NA	NA	NA	NA	NA	2014-11-24T15:11:36Z	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	Zea	mays subsp. mays	NA	Maize	2	SEEDDIV2238	NA	NA	NA	SEEDGWAS4063	242914	CML373/CML311	240860	TABLON	NA	NA	NA	Dent	NA	NA	White	Yellow	Blue	Composite	NA	NA	SEEDGWAS4063
852	9848	NA	9848	CIMMYTMA-BANK-002594	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	1962-01-01	NA	NA	NA	NA	NA	2014-11-24T15:11:36Z	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	Zea	mays subsp. mays	NA	Maize	2	SEEDDIV1133	NA	NA	NA	SEEDGWAS1098	242916	CML451/CML486	242169	NALTEL	NA	NA	NA	Dent	Flint	NA	White	Yellow	Blue	Composite	NA	NA	SEEDGWAS1098
853	9849	NA	9849	CIMMYTMA-BANK-002600	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	1962-01-01	NA	NA	NA	NA	NA	2014-11-24T15:11:36Z	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	Zea	mays subsp. mays	NA	Maize	2	SEEDDIV2718	NA	NA	NA	SEEDGWAS611	242913	CML269/CML264	241681	VANDEN	NA	NA	NA	Dent	Flint	NA	White	Sun red	Yellow	Composite	NA	NA	SEEDGWAS611
856	9852	NA	9852	CIMMYTMA-BANK-002607	NA	NA	2	NA	NA	NA	NA	NA	NA	BLANCODEJUN	1962-01-01	NA	NA	NA	NA	NA	2014-11-24T15:11:36Z	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	Zea	mays subsp. mays	NA	Maize	2	SEEDDIV25148	NA	NA	NA	SEEDGWAS3416	242913	CML269/CML264	240210	BLJUNI	NA	NA	NA	Dent	NA	NA	White	Yellow	Sun red	Composite	NA	NA	SEEDGWAS3416
858	9854	NA	9854	CIMMYTMA-BANK-002609	NA	NA	2	NA	NA	NA	NA	NA	NA	COMPUEPEPITI	1962-01-01	NA	NA	NA	NA	NA	2014-11-24T15:11:36Z	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	Zea	mays subsp. mays	NA	Maize	2	SEEDDIV1134	NA	NA	NA	SEEDGWAS3418	242912	CML244/CML349	240212	PEPITI	NA	NA	NA	Dent	NA	NA	White	Blue	Sun red	Composite	NA	NA	SEEDGWAS3418
859	9855	NA	9855	CIMMYTMA-BANK-002612	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	1969-01-01	NA	NA	NA	NA	NA	2014-11-24T15:11:36Z	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	Zea	mays subsp. mays	NA	Maize	2	SEEDDIV2247	NA	NA	NA	SEEDGWAS2739	242912	CML244/CML349	268578	CHALQU	7	NA	NA	Dent	NA	NA	Yellow	White	Sun red	Composite	NA	NA	SEEDGWAS2739
861	9857	NA	9857	CIMMYTMA-BANK-002618	NA	NA	2	NA	NA	NA	NA	NA	NA	SALV29	1952-08-10	NA	NA	NA	NA	1335	2014-11-24T15:11:36Z	NA	1335	NA	NA	CANTON TLALPETATE	71	13.735749	-89.997599	222	SV	SLV	EL SALVADOR	NA	NA	NA	2	Zea	mays subsp. mays	NA	Maize	2	SEEDDIV1010	NA	NA	NA	SEEDGWAS1295	242919	CML495/CML494	242366	NALTEL	NA	SALVAD	NA	Dent	NA	NA	Yellow	Orange Yellow	White	Collection	NA	NA	SEEDGWAS1295
862	9858	NA	9858	CIMMYTMA-BANK-002625	NA	NA	2	NA	NA	NA	NA	NA	NA	PARA100	1953-04-01	NA	NA	NA	NA	2242	2014-11-24T15:11:36Z	NA	2242	NA	CAAGUAZU	CORONEL OVIEDO	185	-25.453824	-56.408868	600	PY	PRY	PARAGUAY	NA	NA	NA	2	Zea	mays subsp. mays	NA	Maize	2	NA	NA	NA	NA	SEEDGWAS1841	242913	CML269/CML264	238679	AVMORO	9	NA	NA	Floury	NA	NA	Yellow	White	NA	Collection	NA	NA	SEEDGWAS1841
863	9860	NA	9860	CIMMYTMA-BANK-002634	NA	NA	2	NA	NA	NA	NA	NA	NA	PARA117	1953-05-01	NA	NA	NA	NA	534	2014-11-24T15:11:36Z	NA	534	NA	NA	ASUNCION(MERCADO)	165	-25.333228	-57.558546	600	PY	PRY	PARAGUAY	NA	NA	NA	2	Zea	mays subsp. mays	NA	Maize	2	SEEDDIV26125	NA	NA	NA	SEEDGWAS1842	242919	CML495/CML494	238680	AVMORO	9	NA	NA	Floury	NA	NA	Yellow	NA	NA	Collection	NA	NA	SEEDGWAS1842
864	9863	NA	9863	CIMMYTMA-BANK-002639	NA	NA	2	NA	NA	NA	NA	NA	NA	PARA766	1954-01-01	NA	NA	NA	NA	NA	2014-11-24T15:11:36Z	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	Zea	mays subsp. mays	NA	Maize	2	SEEDDIV3932	NA	NA	NA	SEEDGWAS1843	242914	CML373/CML311	238681	AVMORO	9	NA	NA	Floury	NA	NA	White	Yellow	NA	Collection	NA	NA	SEEDGWAS1843
865	9864	NA	9864	CIMMYTMA-BANK-002641	NA	NA	2	NA	NA	NA	NA	NA	NA	BRAZ38	1944-01-01	NA	NA	NA	NA	7584	2014-11-24T15:11:36Z	NA	7584	NA	NA	RIO GRANDE DO SUL	224	-29.333333	-54.166667	76	BR	BRA	BRAZIL	NA	NA	NA	2	Zea	mays subsp. mays	NA	Maize	2	SEEDDIV1135	NA	NA	NA	SEEDGWAS1844	242919	CML495/CML494	238682	AVMORO	NA	NA	NA	Floury	NA	NA	Yellow	NA	NA	Collection	NA	NA	SEEDGWAS1844
866	9884	NA	9884	CIMMYTMA-BANK-002642	NA	NA	2	NA	NA	NA	NA	NA	NA	BRAZ39	1944-01-01	NA	NA	NA	NA	7584	2014-11-24T15:11:36Z	NA	7584	NA	NA	RIO GRANDE DO SUL	224	-29.333333	-54.166667	76	BR	BRA	BRAZIL	NA	NA	NA	2	Zea	mays subsp. mays	NA	Maize	2	SEEDDIV1136	NA	NA	NA	SEEDGWAS1845	242913	CML269/CML264	238683	AVMORM	NA	NA	NA	Floury	NA	NA	Yellow	White	NA	Collection	NA	NA	SEEDGWAS1845
867	9892	NA	9892	CIMMYTMA-BANK-002644	NA	NA	2	NA	NA	NA	NA	NA	NA	BRAZ64	1950-01-01	NA	NA	NA	NA	2524	2014-11-24T15:11:36Z	NA	2524	NA	MATO GROSSO	DOURADOS	447	-22.200732	-54.828953	76	BR	BRA	BRAZIL	NA	NA	NA	2	Zea	mays subsp. mays	NA	Maize	2	SEEDDIV2264	NA	NA	NA	SEEDGWAS1846	242919	CML495/CML494	238684	AVMORO	9	NA	NA	Floury	NA	NA	Yellow	White	NA	Collection	NA	NA	SEEDGWAS1846
869	9897	NA	9897	CIMMYTMA-BANK-002656	NA	NA	2	NA	NA	NA	NA	NA	NA	URUG738	1954-01-01	NA	NA	NA	NA	1049	2014-11-24T15:11:36Z	NA	1049	NA	SAN JOSE	C. LIBERTAD	30	-34.644305	-56.634113	858	UY	URY	URUGUAY	NA	NA	NA	2	Zea	mays subsp. mays	NA	Maize	2	SEEDDIV1137	NA	NA	NA	SEEDGWAS1848	242916	CML451/CML486	238686	AVMORO	NA	NA	NA	Floury	NA	NA	Yellow	NA	NA	Collection	NA	NA	SEEDGWAS1848
870	9901	NA	9901	CIMMYTMA-BANK-002666	NA	NA	2	NA	NA	NA	NA	NA	NA	BOLI81	NA	NA	NA	NA	NA	NA	2014-11-24T15:11:36Z	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	Zea	mays subsp. mays	NA	Maize	2	SEEDDIV2740	NA	NA	NA	SEEDGWAS2394	242917	CML457/CML459	239188	AVMORO	NA	NA	NA	Floury	NA	NA	Yellow	Sun red	NA	Collection	NA	NA	SEEDGWAS2394
871	9919	NA	9919	CIMMYTMA-BANK-002667	NA	NA	2	NA	NA	NA	NA	NA	NA	BOLI82	NA	NA	NA	NA	NA	NA	2014-11-24T15:11:36Z	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	Zea	mays subsp. mays	NA	Maize	2	SEEDDIV2741	NA	NA	NA	SEEDGWAS5211	242914	CML373/CML311	286745	AVMORO	NA	NA	NA	Floury	NA	NA	Yellow	NA	NA	Collection	NA	NA	SEEDGWAS5211
872	9948	NA	9948	CIMMYTMA-BANK-002668	NA	NA	2	NA	NA	NA	NA	NA	NA	BOLI86	1949-01-01	NA	NA	NA	NA	8075	2014-11-24T15:11:36Z	NA	8075	NA	NA	SAN JOSE	NA	NA	NA	68	BO	BOL	BOLIVIA	NA	NA	NA	2	Zea	mays subsp. mays	NA	Maize	2	SEEDDIV2270	NA	NA	NA	SEEDGWAS1849	242919	CML495/CML494	238687	AVMORO	9	NA	NA	Floury	NA	NA	Yellow	White	NA	Collection	NA	NA	SEEDGWAS1849
873	9953	NA	9953	CIMMYTMA-BANK-002669	NA	NA	2	NA	NA	NA	NA	NA	NA	BOLI88	1949-01-01	NA	NA	NA	NA	8075	2014-11-24T15:11:36Z	NA	8075	NA	NA	SAN JOSE	NA	NA	NA	68	BO	BOL	BOLIVIA	NA	NA	NA	2	Zea	mays subsp. mays	NA	Maize	2	SEEDDIV26122	NA	NA	NA	SEEDGWAS1850	242916	CML451/CML486	238688	AVMORO	9	NA	NA	Floury	NA	NA	Yellow	White	NA	Collection	NA	NA	SEEDGWAS1850
874	9957	NA	9957	CIMMYTMA-BANK-002674	NA	NA	2	NA	NA	NA	NA	NA	NA	BRAZ35	1946-07-01	NA	NA	NA	NA	8391	2014-11-24T15:11:36Z	NA	8391	NA	PARANA	SAN PEDRO DO IVAI	339	-23.916667	-51.866667	76	BR	BRA	BRAZIL	NA	NA	NA	2	Zea	mays subsp. mays	NA	Maize	2	SEEDDIV3937	NA	NA	NA	SEEDGWAS1851	242913	CML269/CML264	238689	AVMORO	9	NA	NA	Floury	NA	NA	Yellow	Blue	NA	Collection	NA	NA	SEEDGWAS1851
875	9958	NA	9958	CIMMYTMA-BANK-002675	NA	NA	2	NA	NA	NA	NA	NA	NA	PARA108	1953-04-01	NA	NA	NA	NA	2030	2014-11-24T15:11:36Z	NA	2030	NA	GUAIRA	COLONIA DOCTOR BOTTRELL(NATALICIO TALAVERA)	162	-25.620658	-56.341191	600	PY	PRY	PARAGUAY	NA	NA	NA	2	Zea	mays subsp. mays	NA	Maize	2	SEEDDIV2744	NA	NA	NA	SEEDGWAS1852	242919	CML495/CML494	238690	AVMORO	9	NA	NA	Floury	NA	NA	Yellow	Variegated	NA	Collection	NA	NA	SEEDGWAS1852
877	10031	NA	10031	CIMMYTMA-BANK-002685	NA	NA	2	NA	NA	NA	NA	NA	NA	BRAZ207	1953-07-01	NA	NA	NA	NA	2524	2014-11-24T15:11:36Z	NA	2524	NA	MATO GROSSO	DOURADOS	447	-22.200732	-54.828953	76	BR	BRA	BRAZIL	NA	NA	NA	2	Zea	mays subsp. mays	NA	Maize	2	SEEDDIV2749	NA	NA	NA	SEEDGWAS1854	242913	CML269/CML264	238692	AVMORO	9	NA	NA	Floury	Flint	NA	White	NA	NA	Collection	NA	NA	SEEDGWAS1854
880	10068	NA	10068	CIMMYTMA-BANK-002708	NA	NA	2	NA	NA	NA	NA	NA	NA	BRAZ1	1946-07-01	NA	NA	NA	NA	8391	2014-11-24T15:11:36Z	NA	8391	NA	PARANA	SAN PEDRO DO IVAI	339	-23.916667	-51.866667	76	BR	BRA	BRAZIL	NA	NA	NA	2	Zea	mays subsp. mays	NA	Maize	2	SEEDDIV2281	NA	NA	NA	SEEDGWAS1855	242919	CML495/CML494	238693	CAINGA	9	NA	NA	Dent	Floury	NA	White	NA	NA	Collection	NA	NA	SEEDGWAS1855
881	10094	NA	10094	CIMMYTMA-BANK-002709	NA	NA	2	NA	NA	NA	NA	NA	NA	BRAZ4	1946-07-01	NA	NA	NA	NA	8391	2014-11-24T15:11:36Z	NA	8391	NA	PARANA	SAN PEDRO DO IVAI	339	-23.916667	-51.866667	76	BR	BRA	BRAZIL	NA	NA	NA	2	Zea	mays subsp. mays	NA	Maize	2	SEEDDIV1138	NA	NA	NA	SEEDGWAS1856	242919	CML495/CML494	238694	CAINGA	9	NA	NA	Floury	NA	NA	White	Yellow	Sun red	Collection	NA	NA	SEEDGWAS1856
882	10101	NA	10101	CIMMYTMA-BANK-002714	NA	NA	2	NA	NA	NA	NA	NA	NA	BRAZ9	1947-01-01	NA	NA	NA	NA	430	2014-11-24T15:11:36Z	NA	430	NA	PARANA	APUCARANA	743	-23.55	-51.483333	76	BR	BRA	BRAZIL	NA	NA	NA	2	Zea	mays subsp. mays	NA	Maize	2	SEEDDIV2761	NA	NA	NA	SEEDGWAS1857	242913	CML269/CML264	238695	CAINGA	9	NA	NA	Floury	NA	NA	White	NA	NA	Collection	NA	NA	SEEDGWAS1857
883	10108	NA	10108	CIMMYTMA-BANK-002721	NA	NA	2	NA	NA	NA	NA	NA	NA	BRAZ21	1947-01-01	NA	NA	NA	NA	430	2014-11-24T15:11:36Z	NA	430	NA	PARANA	APUCARANA	743	-23.55	-51.483333	76	BR	BRA	BRAZIL	NA	NA	NA	2	Zea	mays subsp. mays	NA	Maize	2	SEEDDIV4759	NA	NA	NA	SEEDGWAS1858	242913	CML269/CML264	238696	CAINGA	9	NA	NA	Floury	NA	NA	White	NA	NA	Collection	NA	NA	SEEDGWAS1858
884	10121	NA	10121	CIMMYTMA-BANK-002724	NA	NA	2	NA	NA	NA	NA	NA	NA	BRAZ30	NA	NA	NA	NA	NA	8794	2014-11-24T15:11:36Z	NA	8794	NA	NA	SAO PAULO	NA	NA	NA	76	BR	BRA	BRAZIL	NA	NA	NA	2	Zea	mays subsp. mays	NA	Maize	2	SEEDDIV2289	NA	NA	NA	SEEDGWAS1859	242919	CML495/CML494	238697	CAINGA	9	NA	NA	Floury	NA	NA	White	NA	NA	Collection	NA	NA	SEEDGWAS1859
885	10268	NA	10268	CIMMYTMA-BANK-002726	NA	NA	2	NA	NA	NA	NA	NA	NA	BRAZ94	1960-01-01	NA	NA	NA	NA	NA	2014-11-24T15:11:36Z	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	Zea	mays subsp. mays	NA	Maize	2	SEEDDIV3939	NA	NA	NA	SEEDGWAS2396	242919	CML495/CML494	239190	PADENT	NA	LENHA	NA	Dent	Floury	NA	White	Yellow	NA	Collection	NA	NA	SEEDGWAS2396
