SEEDGWAS2078id	general_identifier	number	name	bank_number	breeders_code	subtaxa_id...7	taxonomy_id	institution_id	breeder_id	plant_passport	donor_code	donor_number	acqdate	collnumb	colldate	collcode	duplsite	biologicalstatus_id	collsrc_id	location_id	created_on	updated_on	locations_id	locations_state	locations_region	locations_site_name	locations_elevation	locations_latitude	locations_longitude	countries_id	countries_country_code2	countries_country_code3	countries_country_name	subtaxa_id...35	subtaxa_subtaxa_author	subtaxa_taxonomic_identifier	taxonomies_id	taxonomies_genus	taxonomies_species	taxonomies_species_author	taxonomies_crop_name	taxonomies_ploidy	Sample ID of DNA from composite samples	Sample ID of DNA from original CMLs	Sample ID of DNA from most recent CML regenerations	Sample ID for DNA from intermediate CML regenerations	Sample ID of DNA from single plants used in GWAS	Tester GID	Tester pedigree	Testcross GID	PrimaryRace	PrimaryPurity	SecondaryRace	Pedigree	GrainType1	GrainType2	GrainType3	GrainColor1	GrainColor2	GrainColor3	PopulationType	flowering_season_start	growing_season_start	X.unlist.strsplit.pca_sample_names....n....
11	87	NA	87	CIMMYTMA-BANK-000014	NA	NA	2	NA	NA	NA	NA	NA	NA	MICHGP12	1960-01-01	NA	NA	NA	NA	NA	2014-11-24T15:10:27Z	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	Zea	mays subsp. mays	NA	Maize	2	SEEDDIV1261	NA	NA	NA	SEEDGWAS3158	242919	CML495/CML494	239952	REVENT	NA	MEZCLA	NA	Flint	Dent	NA	White	Yellow	NA	Group	NA	NA	SEEDGWAS3158
12	96	NA	96	CIMMYTMA-BANK-000017	NA	NA	2	NA	NA	NA	NA	NA	NA	MICH155	1952-02-11	NA	NA	NA	NA	3011	2014-11-24T15:10:27Z	NA	3011	NA	COALCOMAN	EL RINCON	1040	18.797803	-103.142683	484	MX	MEX	MEXICO	NA	NA	NA	2	Zea	mays subsp. mays	NA	Maize	2	SEEDDIV760	NA	NA	NA	SEEDGWAS2073	242916	CML451/CML486	268270	CONICO	NA	CELAYA	NA	Dent	NA	NA	Yellow	NA	NA	Collection	NA	NA	SEEDGWAS2073
14	106	NA	106	CIMMYTMA-BANK-000021	NA	NA	2	NA	NA	NA	NA	NA	NA	GUERGP1	1960-01-01	NA	NA	NA	NA	NA	2014-11-24T15:10:27Z	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	Zea	mays subsp. mays	NA	Maize	2	SEEDDIV5179	NA	NA	NA	SEEDGWAS3371	242914	CML373/CML311	240165	TUXPEN	NA	NA	NA	Dent	NA	NA	White	Yellow	NA	Group	NA	NA	SEEDGWAS3371
15	273	NA	273	CIMMYTMA-BANK-000028	NA	NA	2	NA	NA	NA	NA	NA	NA	GUERGP6	1960-01-01	NA	NA	NA	NA	NA	2014-11-24T15:10:27Z	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	Zea	mays subsp. mays	NA	Maize	2	SEEDDIV1269	NA	NA	NA	SEEDGWAS1	242913	CML269/CML264	241071	TUXPEN	NA	ZAPGRA	NA	Dent	NA	NA	White	Yellow	NA	Group	NA	NA	SEEDGWAS1
16	276	NA	276	CIMMYTMA-BANK-000031	NA	NA	2	NA	NA	NA	NA	NA	NA	GUERGP9	1960-01-01	NA	NA	NA	NA	NA	2014-11-24T15:10:27Z	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	Zea	mays subsp. mays	NA	Maize	2	SEEDDIV1270	NA	NA	NA	SEEDGWAS1165	242916	CML451/CML486	242236	TUXPEN	NA	NA	NA	Dent	NA	NA	White	Yellow	NA	Group	NA	NA	SEEDGWAS1165
17	277	NA	277	CIMMYTMA-BANK-000036	NA	NA	2	NA	NA	NA	NA	NA	NA	GUER55	1947-01-01	NA	NA	NA	NA	9453	2014-11-24T15:10:27Z	NA	9453	NA	NA	TLAPEHUALA	272	18.23333333	-100.5166667	484	MX	MEX	MEXICO	NA	NA	NA	2	Zea	mays subsp. mays	NA	Maize	2	SEEDDIV1275	NA	NA	NA	SEEDGWAS680	242913	CML269/CML264	241751	TUXPEN	NA	NA	NA	Dent	Flint	NA	White	Yellow	Blue	Collection	NA	NA	SEEDGWAS680
18	278	NA	278	CIMMYTMA-BANK-000037	NA	NA	2	NA	NA	NA	NA	NA	NA	GUERGP13	1960-01-01	NA	NA	NA	NA	NA	2014-11-24T15:10:27Z	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	Zea	mays subsp. mays	NA	Maize	2	SEEDDIV1276	NA	NA	NA	SEEDGWAS4036	242913	CML269/CML264	240833	VANDEN	NA	NA	NA	Dent	NA	NA	White	Yellow	NA	Group	NA	NA	SEEDGWAS4036
19	280	NA	280	CIMMYTMA-BANK-000038	NA	NA	2	NA	NA	NA	NA	NA	NA	GUERGP14	1960-01-01	NA	NA	NA	NA	NA	2014-11-24T15:10:28Z	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	Zea	mays subsp. mays	NA	Maize	2	SEEDDIV1277	NA	NA	NA	SEEDGWAS4037	242917	CML457/CML459	240834	TUXPEN	NA	NA	NA	Dent	Flint	NA	White	Yellow	NA	Group	NA	NA	SEEDGWAS4037
20	281	NA	281	CIMMYTMA-BANK-000042	NA	NA	2	NA	NA	NA	NA	NA	NA	GUERGP17	1960-01-01	NA	NA	NA	NA	NA	2014-11-24T15:10:28Z	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	Zea	mays subsp. mays	NA	Maize	2	SEEDDIV1281	NA	NA	NA	SEEDGWAS2303	242912	CML244/CML349	268718	TUXPEN	NA	NA	NA	Dent	Flint	NA	White	Yellow	NA	Group	NA	NA	SEEDGWAS2303
21	291	NA	291	CIMMYTMA-BANK-000043	NA	NA	2	NA	NA	NA	NA	NA	NA	GUERGP18	1960-01-01	NA	NA	NA	NA	NA	2014-11-24T15:10:28Z	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	Zea	mays subsp. mays	NA	Maize	2	SEEDDIV1282	NA	NA	NA	SEEDGWAS3793	242917	CML457/CML459	240588	TUXPEN	NA	NA	NA	Dent	Flint	NA	White	Yellow	Blue	Group	NA	NA	SEEDGWAS3793
